samplenr	I	II	V1	V2	V3	V4	V5	V6	measurement
0	10	-36	14	6	-30	-66	-52	-32	
1	12	-34	10	4	-32	-66	-50	-32	
2	12	-32	8	2	-32	-66	-50	-32	
3	14	-30	6	2	-34	-64	-48	-30	
4	16	-26	2	0	-34	-64	-48	-30	
5	16	-24	0	0	-34	-62	-46	-28	
6	18	-22	-2	-2	-34	-62	-46	-28	
7	18	-20	-4	-2	-34	-60	-44	-26	
8	20	-18	-6	-2	-32	-58	-42	-24	
9	20	-16	-8	-2	-32	-54	-40	-24	
10	20	-14	-10	-4	-30	-52	-38	-22	
11	20	-12	-10	-4	-28	-50	-36	-20	
12	20	-10	-12	-4	-26	-46	-32	-18	
13	20	-10	-12	-4	-24	-44	-30	-16	
14	20	-8	-14	-4	-24	-40	-28	-14	
15	20	-6	-14	-4	-22	-38	-26	-14	
16	20	-6	-14	-4	-20	-34	-22	-12	
17	20	-4	-14	-4	-18	-32	-20	-10	
18	20	-4	-14	-4	-16	-30	-18	-8	
19	18	-2	-14	-4	-14	-26	-16	-6	
20	18	-2	-14	-4	-12	-24	-14	-4	
21	16	0	-14	-4	-10	-22	-12	-4	
22	16	0	-14	-4	-8	-20	-10	-2	
23	14	0	-12	-4	-8	-16	-8	0	
24	14	0	-12	-4	-6	-14	-6	0	
25	12	0	-12	-4	-4	-12	-6	2	
26	10	0	-10	-2	-4	-10	-4	2	
27	10	0	-10	-2	-2	-8	-2	4	
28	8	0	-10	-2	-2	-6	-2	4	
29	6	0	-8	-4	0	-4	0	4	
30	4	0	-8	-4	0	-2	2	6	
31	4	0	-6	-4	2	0	2	6	
32	2	0	-6	-4	2	2	2	6	
33	0	0	-6	-4	2	2	4	6	
34	0	0	-4	-4	4	4	4	6	
35	-2	0	-4	-4	4	6	4	8	
36	-2	0	-2	-4	6	6	4	8	
37	-4	2	-2	-4	6	6	6	8	
38	-4	2	-2	-2	6	8	6	8	
39	-4	2	0	-2	8	8	6	8	
40	-6	4	2	-2	8	10	6	8	
41	-6	4	2	-2	8	10	6	8	
42	-6	6	4	-2	10	12	6	8	
43	-6	6	4	-2	10	12	6	8	
44	-6	8	6	-2	10	12	6	8	
45	-6	8	8	-2	10	12	6	8	
46	-6	8	10	-2	10	14	6	8	
47	-6	10	10	-2	10	14	6	6	
48	-6	10	12	-2	10	14	6	6	
